Customer_ID,Customer_Name,Gender,Age,City,Province,Occupation,Education_Level,Marital_Status,Account_Number,Account_Type,Account_Open_Date,Branch_Name,Monthly_Income,Credit_Score,Loan_Status,Loan_Amount,Loan_Type,Interest_Rate,EMI_Amount,Account_Balance,Monthly_Deposit,Monthly_Withdrawal,Debit_Card_Usage,Credit_Card_Usage,Online_Banking_Usage,Mobile_Banking_Usage,Transaction_Count,Average_Transaction,ATM_Visits,FD_Amount,Insurance_Premium,Investment_Amount,Customer_Segment,Customer_Satisfaction,Complaint_Count,Last_Transaction_Date,Risk_Category,Churn_Status,Relationship_Manager
C0353,Customer_353,Male,27,Pokhara,Lumbini,Doctor,Bachelor,Unmarried,ACC100354,Fixed Deposit,2022-01-25 08:21:16.275,Bhaktapur Branch,172028,762,Closed,1338258,Education,14.29,17490,642211,53402,66256,44,69,Yes,No,168,35897,3,53152,27747,583957,Retail,1,8,2025-08-01 08:21:16.275,Medium,Yes,RM_A
C0690,Customer_690,Male,36,Biratnagar,Lumbini,Banker,Bachelor,Unmarried,ACC100691,Savings,2023-11-23 08:21:16.323,Butwal Branch,151816,773,Closed,-3888930.0,Education,14.19,23324,1286022,146994,106539,71,43,No,Yes,75,24768,29,328958,19666,926683,Retail,3,2,2026-02-08 08:21:16.323,Medium,Yes,RM_A
C0486,Customer_486,Female,31,Bhaktapur,Koshi,Doctor,+2,Unmarried,ACC100487,Fixed Deposit,2022-02-24 08:21:16.294,Lalitpur Branch,66106,510,Closed,1152270,Education,14.65,24689,838581,137181,22030,7,55,No,No,50,44444,20,665902,10538,961168,VIP,2,7,2026-03-11 08:21:16.294,High,No,RM_A
C0389,Customer_389,Male,25,Butwal,Bagmati,Doctor,+2,Married,ACC100390,Savings,2025-12-20 08:21:16.280,Lalitpur Branch,57375,757,,0,Education,13.29,24717,1974207,13286,4123,81,51,Yes,Yes,12,31453,11,351977,18282,266943,Retail,1,6,2026-06-01 08:21:16.280,Low,Yes,RM_D
C0032,Customer_32,Female,59,  lalitpur  ,Gandaki,Banker,PhD,Married,ACC100033,SAVINGS,2023-09-14 08:21:16.229,Biratnagar Branch,29947,696,Closed,1929008,Education,8.13,11897,154622,45444,1330,32,85,Yes,No,162,10099,9,222987,24143,325623,Retail,2,4,2025-10-23 08:21:16.229,High,No,RM_A
C0443,Customer_443,Male,48,Chitwan,Gandaki,Engineer,Master,Unmarried,ACC100444,Savings,2019-10-02 08:21:16.287,Kathmandu Branch,93665,471,Closed,1870505,Vehicle,7.27,7704,732470,33478,28932,17,21,Yes,Yes,104,37462,21,293767,26237,1747429,Corporate,2,5,2025-11-25 08:21:16.287,Low,Yes,RM_B
C0199,Customer_199,Female,46,Butwal,Bagmati,Doctor,Master,Unmarried,ACC100200,Fixed Deposit,2026-03-23 08:21:16.254,Pokhara Branch,67202 NPR,704,,0,Vehicle,6.22,35256,"NPR 1,925,148.00",55690,14536,85,96,No,Yes,33,16865,17,747806,49915,1058515,VIP,2,2,2025-09-18 08:21:16.254,High,Yes,RM_C
C0426,Customer_426,Female,51,Bhaktapur,Gandaki,Teacher,,Unmarried,ACC100427,Current,2021-08-22 08:21:16.285,Lalitpur Branch,236630,539,Closed,1969793,Home,7.36,30818,325480,63652,64007,41,53,Yes,Yes,91,45443,24,294587,10803,1152873,Retail,2,10,2026-01-29 08:21:16.285,Medium,No,RM_D
C0108,Customer_108,Female,24,Lalitpur,Bagmati,Doctor,Master,Unmarried,ACC100109,Fixed Deposit,2020-10-04 08:21:16.241,Pokhara Branch,105997 NPR,711,Closed,976393,Education,15.29,46104,"NPR 199,863.00",58951,80146,30,61,Yes,Yes,199,30529,16,542491,40703,1633696,Corporate,2,8,2025-12-13 08:21:16.241,High,Yes,RM_B
C0715,Customer_715,Female,33,Chitwan,Bagmati,  ,Master,Married,ACC100716,Fixed Deposit,2025-08-11 08:21:16.326,Pokhara Branch,246558,677,Active,537125,Vehicle,15.25,38878,1830519,87845,85737,85,48,No,Yes,115,6619,19,723603,34250,1025042,VIP,5,5,2025-10-15 08:21:16.326,Low,Yes,RM_C
C0553,Customer_553,Female,56,Pokhara,Lumbini,Engineer,Master,Married,ACC100554,Current,2025-02-06 08:21:16.306,Butwal Branch,146422,670,,0,Business,14.24,12910,816934,12038,55502,65,52,Yes,No,133,40083,7,415867,39365,412450,Corporate,2,8,2026-04-03 08:21:16.306,Low,No,RM_D
C0676,Customer_676,Female,26,Butwal,Gandaki,Doctor,Master,Married,ACC100677,Fixed Deposit,2022-08-10 08:21:16.321,Bhaktapur Branch,228381,626,Closed,2698599,Vehicle,9.59,47776,761309,37448,114697,81,57,No,No,85,24950,10,934976,26497,1181975,VIP,4,4,2025-09-21 08:21:16.321,Low,No,RM_A
C0159,Customer_159,Male,42,Bhaktapur,Gandaki,Analyst,Master,Unmarried,ACC100160,Savings,2024-01-05 08:21:16.247,Butwal Branch,247763,-999,Closed,2107765,Vehicle,7.74,28178,1641377,64472,13880,73,18,No,Yes,80,19087,21,99123,12199,578355,Corporate,5,3,2026-04-02 08:21:16.247,High,Yes,RM_B
C0476,Customer_476,Female,50,Kathmandu,Gandaki,Teacher,Bachelor,Married,ACC100477,Current,2025-03-23 08:21:16.293,Butwal Branch,34510,787,Active,2804433,Education,6.18,31851,676153,40585,42245,47,29,No,No,11,42027,21,576104,28957,1952080,VIP,4,10,2025-10-22 08:21:16.293,Low,No,RM_B
C0424,Customer_424,Male,31,Pokhara,Gandaki,Banker,PhD,Unmarried,ACC100425,Fixed Deposit,2025-01-25 08:21:16.285,Biratnagar Branch,245999,740,Closed,2730662,Personal,11.92,5824,1134347,76716,107305,30,41,No,No,60,44526,25,33463,349,326598,Retail,5,1,2025-09-10 08:21:16.285,Medium,No,RM_A
C0211,Customer_211,Male,55,Butwal,Lumbini,Banker,+2,Unmarried,ACC100212,Fixed Deposit,2022-05-03 08:21:16.256,Butwal Branch,162227 NPR,614,Active,156598,Home,6.55,46861,"NPR 1,296,843.00",99953,52004,61,85,No,Yes,125,9711,1,215387,47211,1125753,VIP,5,7,2026-03-20 08:21:16.256,Medium,No,RM_A
C0618,Customer_618,Female,23,Pokhara,Lumbini,Teacher,+2,Married,ACC100619,Current,2023-06-30 08:21:16.314,Pokhara Branch,221239 NPR,798,Closed,1538323,Home,12.6,2315,"NPR 572,940.00",110297,33924,56,60,Yes,No,45,17396,2,31188,14319,423524,VIP,2,0,2025-08-22 08:21:16.314,High,No,RM_A
C0484,Customer_484,Male,51,Kathmandu,Gandaki,Teacher,+2,Married,ACC100485,Current,2020-10-01 08:21:16.294,Pokhara Branch,91470,765,Closed,1620988,Home,7.23,14985,872644,81446,37470,12,58,No,No,6,1292,25,719977,30976,307038,VIP,2,5,2026-05-16 08:21:16.294,High,No,RM_C
C0885,Customer_885,Male,64,Biratnagar,Lumbini,Analyst,+2,Married,ACC100886,Savings,2020-01-16 08:21:16.349,Chitwan Branch,118294,-999,,0,Personal,6.63,39391,232168,116280,115533,24,7,Yes,No,142,34767,0,597538,6086,557615,Corporate,1,10,2025-10-06 08:21:16.349,Low,No,RM_A
C0651,Customer_651,Male,58,Butwal,Gandaki,Teacher,Bachelor,Married,ACC100652,Fixed Deposit,2025-10-06 08:21:16.318,Kathmandu Branch,45811,-999,Closed,2111605,Education,8.67,40854,1602408,27143,75096,52,94,No,Yes,112,19363,18,442657,37951,1235917,Corporate,2,10,2025-10-18 08:21:16.318,High,No,RM_C
C0245,Customer_245,Male,140,Chitwan,Lumbini,Student,+2,Unmarried,ACC100246,Fixed Deposit,2024-05-08 08:21:16.260,Chitwan Branch,133446,783,Closed,1796010,Personal,11.93,10834,711849,64899,108125,7,78,No,No,134,28489,17,998521,45876,528862,Retail,2,9,2026-03-27 08:21:16.260,Low,Yes,RM_D
C0848,Customer_848,Male,59,Lalitpur,Lumbini,Engineer,+2,Unmarried,ACC100849,Fixed Deposit,2020-07-23 08:21:16.345,Bhaktapur Branch,34517,679,Active,1891694,Home,13.24,25680,75357,92075,26518,8,59,No,No,138,40091,13,74875,46958,1369662,VIP,5,9,2025-06-25 08:21:16.345,Low,Yes,RM_B
C0983,Customer_983,Female,47,Kathmandu,Gandaki,Engineer,Master,Married,ACC100984,Savings,2020-12-07 08:21:16.362,Bhaktapur Branch,117825,829,Active,1111785,Education,8.08,26921,1204089,20367,112397,20,64,No,No,84,28892,29,204051,20919,387074,Retail,1,7,2026-01-18 08:21:16.362,High,No,RM_C
C0829,Customer_829,Female,35,Lalitpur,Bagmati,Teacher,Bachelor,Married,ACC100830,Current,2020-06-27 08:21:16.342,Kathmandu Branch,115542,707,Closed,1327498,Business,9.28,22893,1619270,77331,7713,4,47,No,Yes,138,46592,12,486454,2889,404521,Retail,5,9,2025-10-07 08:21:16.342,Low,Yes,RM_B
C0571,Customer_571,Female,37,Butwal,Gandaki,Teacher,PhD,Unmarried,ACC100572,Current,2023-10-29 08:21:16.309,Lalitpur Branch,64821 NPR,753,Closed,1432670,Business,14.39,23451,"NPR 1,149,809.00",42934,25903,83,62,Yes,No,140,2794,14,446160,46517,542706,Corporate,3,0,2025-08-10 08:21:16.309,Medium,Yes,RM_C
C0060,Customer_60,Male,38,Lalitpur,Lumbini,Engineer,Bachelor,Married,ACC100061,Fixed Deposit,2019-11-26 08:21:16.233,Chitwan Branch,89479 NPR,698,,0,Personal,7.71,39641,"NPR 1,673,663.00",65742,56114,70,89,No,Yes,194,15059,12,954042,28265,339704,Retail,1,0,2026-05-07 08:21:16.233,High,Yes,RM_A
C0291,Customer_291,Female,55,Butwal,Lumbini,Doctor,Bachelor,Married,ACC100292,Fixed Deposit,2025/31/12,Pokhara Branch,37909,544,Active,2755099,Home,9.74,38274,1655847,61355,34193,82,15,No,No,42,6919,25,892941,1670,1086829,Corporate,1,0,2026-02-14 08:21:16.266,High,No,RM_D
C0071,Customer_71,Female,46,Chitwan,Lumbini,Analyst,Master,Married,ACC100072,Savings,2026-03-27 08:21:16.235,Kathmandu Branch,113557 NPR,701,Active,2959102,Vehicle,11.1,49169,"NPR 1,097,927.00",27386,38933,77,63,Yes,No,199,18196,15,833108,34651,1516316,VIP,3,4,2025-06-30 08:21:16.235,High,Yes,RM_A
