Customer_ID,Customer_Name,Gender,Age,City,Province,Occupation,Education_Level,Marital_Status,Account_Number,Account_Type,Account_Open_Date,Branch_Name,Monthly_Income,Credit_Score,Loan_Status,Loan_Amount,Loan_Type,Interest_Rate,EMI_Amount,Account_Balance,Monthly_Deposit,Monthly_Withdrawal,Debit_Card_Usage,Credit_Card_Usage,Online_Banking_Usage,Mobile_Banking_Usage,Transaction_Count,Average_Transaction,ATM_Visits,FD_Amount,Insurance_Premium,Investment_Amount,Customer_Segment,Customer_Satisfaction,Complaint_Count,Last_Transaction_Date,Risk_Category,Churn_Status,Relationship_Manager
C0353,Customer_353,Male,27,Pokhara,Lumbini,Doctor,Bachelor,Unmarried,Acc100354,Fixed Deposit,2022-01-25,Bhaktapur Branch,172028.0,762,Closed,1338258.0,Education,14.29,17490.0,642211.0,53402.0,66256.0,44.0,69.0,,,168.0,35897.0,3.0,53152.0,27747.0,583957.0,Retail,1,8,2025-08-01,Medium,Yes,Rm_A
C0690,Customer_690,Male,36,Biratnagar,Lumbini,Banker,Bachelor,Unmarried,Acc100691,Savings,2023-11-23,Butwal Branch,151816.0,773,Closed,3888930.0,Education,14.19,23324.0,1286022.0,146994.0,106539.0,71.0,43.0,,,75.0,24768.0,29.0,328958.0,19666.0,926683.0,Retail,3,2,2026-02-08,Medium,Yes,Rm_A
C0486,Customer_486,Female,31,Bhaktapur,Koshi,Doctor,+2,Unmarried,Acc100487,Fixed Deposit,2022-02-24,Lalitpur Branch,66106.0,510,Closed,1152270.0,Education,14.65,24689.0,838581.0,137181.0,22030.0,7.0,55.0,,,50.0,44444.0,20.0,665902.0,10538.0,961168.0,Vip,2,7,2026-03-11,High,No,Rm_A
C0389,Customer_389,Male,25,Butwal,Bagmati,Doctor,+2,Married,Acc100390,Savings,2025-12-20,Lalitpur Branch,57375.0,757,,0.0,Education,13.29,24717.0,1974207.0,13286.0,4123.0,81.0,51.0,,,12.0,31453.0,11.0,351977.0,18282.0,266943.0,Retail,1,6,2026-06-01,Low,Yes,Rm_D
C0032,Customer_32,Female,59,Lalitpur,Gandaki,Banker,Phd,Married,Acc100033,Savings,2023-09-14,Biratnagar Branch,29947.0,696,Closed,1929008.0,Education,8.13,11897.0,154622.0,45444.0,1330.0,32.0,85.0,,,162.0,10099.0,9.0,222987.0,24143.0,325623.0,Retail,2,4,2025-10-23,High,No,Rm_A
C0443,Customer_443,Male,48,Chitwan,Gandaki,Engineer,Master,Unmarried,Acc100444,Savings,2019-10-02,Kathmandu Branch,93665.0,471,Closed,1870505.0,Vehicle,7.27,7704.0,732470.0,33478.0,28932.0,17.0,21.0,,,104.0,37462.0,21.0,293767.0,26237.0,1747429.0,Corporate,2,5,2025-11-25,Low,Yes,Rm_B
C0199,Customer_199,Female,46,Butwal,Bagmati,Doctor,Master,Unmarried,Acc100200,Fixed Deposit,2026-03-23,Pokhara Branch,67202.0,704,,0.0,Vehicle,6.22,35256.0,1925148.0,55690.0,14536.0,85.0,96.0,,,33.0,16865.0,17.0,747806.0,49915.0,1058515.0,Vip,2,2,2025-09-18,High,Yes,Rm_C
C0426,Customer_426,Female,51,Bhaktapur,Gandaki,Teacher,Unspecified,Unmarried,Acc100427,Current,2021-08-22,Lalitpur Branch,236630.0,539,Closed,1969793.0,Home,7.36,30818.0,325480.0,63652.0,64007.0,41.0,53.0,,,91.0,45443.0,24.0,294587.0,10803.0,1152873.0,Retail,2,10,2026-01-29,Medium,No,Rm_D
C0108,Customer_108,Female,24,Lalitpur,Bagmati,Doctor,Master,Unmarried,Acc100109,Fixed Deposit,2020-10-04,Pokhara Branch,105997.0,711,Closed,976393.0,Education,15.29,46104.0,199863.0,58951.0,80146.0,30.0,61.0,,,199.0,30529.0,16.0,542491.0,40703.0,1633696.0,Corporate,2,8,2025-12-13,High,Yes,Rm_B
C0715,Customer_715,Female,33,Chitwan,Bagmati,Unemployed/Other,Master,Married,Acc100716,Fixed Deposit,2025-08-11,Pokhara Branch,246558.0,677,Active,537125.0,Vehicle,15.25,38878.0,1830519.0,87845.0,85737.0,85.0,48.0,,,115.0,6619.0,19.0,723603.0,34250.0,1025042.0,Vip,5,5,2025-10-15,Low,Yes,Rm_C
C0553,Customer_553,Female,56,Pokhara,Lumbini,Engineer,Master,Married,Acc100554,Current,2025-02-06,Butwal Branch,146422.0,670,,0.0,Business,14.24,12910.0,816934.0,12038.0,55502.0,65.0,52.0,,,133.0,40083.0,7.0,415867.0,39365.0,412450.0,Corporate,2,8,2026-04-03,Low,No,Rm_D
C0676,Customer_676,Female,26,Butwal,Gandaki,Doctor,Master,Married,Acc100677,Fixed Deposit,2022-08-10,Bhaktapur Branch,228381.0,626,Closed,2698599.0,Vehicle,9.59,47776.0,761309.0,37448.0,114697.0,81.0,57.0,,,85.0,24950.0,10.0,934976.0,26497.0,1181975.0,Vip,4,4,2025-09-21,Low,No,Rm_A
C0159,Customer_159,Male,42,Bhaktapur,Gandaki,Analyst,Master,Unmarried,Acc100160,Savings,2024-01-05,Butwal Branch,247763.0,653,Closed,2107765.0,Vehicle,7.74,28178.0,1641377.0,64472.0,13880.0,73.0,18.0,,,80.0,19087.0,21.0,99123.0,12199.0,578355.0,Corporate,5,3,2026-04-02,High,Yes,Rm_B
C0476,Customer_476,Female,50,Kathmandu,Gandaki,Teacher,Bachelor,Married,Acc100477,Current,2025-03-23,Butwal Branch,34510.0,787,Active,2804433.0,Education,6.18,31851.0,676153.0,40585.0,42245.0,47.0,29.0,,,11.0,42027.0,21.0,576104.0,28957.0,1952080.0,Vip,4,10,2025-10-22,Low,No,Rm_B
